OrderNumber,InventoryStatus,PaymentStatus,Vendor,ContactName,Phone,VendorAddress1,VendorAddress2,VendorCity,VendorState,VendorCountry,VendorPostalCode,VendorAddressRemarks,ShipToCompanyName,ShipToAddress1,ShipToAddress2,ShipToCity,ShipToState,ShipToCountry,ShipToPostalCode,ShipToAddressRemarks,CurrencyCode,ExchangeRate,NonVendorCost,OrderDate,OrderRemarks,Freight,DueDate,DatePaid,AmountPaid,RequestedShipDate,VendorOrderNumber,Location,PaymentTerms,PaymentMethod,TaxingScheme,Tax1Rate,Tax2Rate,CalculateTax2OnTax1,Tax1Name,Tax2Name,Tax1OnShipping,Tax2OnShipping,ItemName,ItemDescription,ItemQuantity,ItemQuantityUoM,ItemUnitPrice,ItemDiscount,VendorItemCode,ItemSubtotal,ItemSerials,SpecialTaxRate,IsCancelled
PO-000201,Started,Unpaid,Elitech Group B.V (Instruments/spare parts),Anneke te Winkel,+31 313 430 577,"Van Rensselaerweg4, 6956AV
",Spankeren,,,Netherlands,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,EUR,0.0019,,7/26/2018 11:38:54 AM,"TERMS:

PAYMENTS: 30 DAYS AFTER RECEIPT OF INVOICE.

DELIVERY: WITHIN 28 DAYS OF RECEIPT OF PO.

MODE OF SHIPMENT: EXW

PREFERED FORWARDER:PERFERRED FORWARDER:        DWF Germany- DWF Air Service GmbH, 
Mörfelder Strasse 111, D-65451
Kelsterbach
Phone: +49 (0) 6107-985835,
Fax: +49 (0) 6107-9858-19, 
E-Mail: J.loebig@dwf-airservice.de






VIVIAN OPARA.
SUPPLY CHAIN UNIT",,,,0,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,False,True,CO2 ELECTRODE,"CO2 ELECTRODE, 3918-003",10,,140,0 %,3918-003,1400,,Taxable,False
PO-000201,Started,Unpaid,Elitech Group B.V (Instruments/spare parts),Anneke te Winkel,+31 313 430 577,"Van Rensselaerweg4, 6956AV
",Spankeren,,,Netherlands,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,EUR,0.0019,,7/26/2018 11:38:54 AM,"TERMS:

PAYMENTS: 30 DAYS AFTER RECEIPT OF INVOICE.

DELIVERY: WITHIN 28 DAYS OF RECEIPT OF PO.

MODE OF SHIPMENT: EXW

PREFERED FORWARDER:PERFERRED FORWARDER:        DWF Germany- DWF Air Service GmbH, 
Mörfelder Strasse 111, D-65451
Kelsterbach
Phone: +49 (0) 6107-985835,
Fax: +49 (0) 6107-9858-19, 
E-Mail: J.loebig@dwf-airservice.de






VIVIAN OPARA.
SUPPLY CHAIN UNIT",,,,0,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,False,True,REFERENCE ELECTRODE,"REFERENCE ELECTRODE, 3918-002",10,pcs.,140,0 %,3918-002,1400,,Taxable,False
PO-000201,Started,Unpaid,Elitech Group B.V (Instruments/spare parts),Anneke te Winkel,+31 313 430 577,"Van Rensselaerweg4, 6956AV
",Spankeren,,,Netherlands,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,EUR,0.0019,,7/26/2018 11:38:54 AM,"TERMS:

PAYMENTS: 30 DAYS AFTER RECEIPT OF INVOICE.

DELIVERY: WITHIN 28 DAYS OF RECEIPT OF PO.

MODE OF SHIPMENT: EXW

PREFERED FORWARDER:PERFERRED FORWARDER:        DWF Germany- DWF Air Service GmbH, 
Mörfelder Strasse 111, D-65451
Kelsterbach
Phone: +49 (0) 6107-985835,
Fax: +49 (0) 6107-9858-19, 
E-Mail: J.loebig@dwf-airservice.de






VIVIAN OPARA.
SUPPLY CHAIN UNIT",,,,0,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,False,True,POTASSIUM ELECTRODE,"POTASSIUM ELECTRODE, 3918-005",10,pcs.,140,0 %,3918-005,1400,,Taxable,False
PO-000201,Started,Unpaid,Elitech Group B.V (Instruments/spare parts),Anneke te Winkel,+31 313 430 577,"Van Rensselaerweg4, 6956AV
",Spankeren,,,Netherlands,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,EUR,0.0019,,7/26/2018 11:38:54 AM,"TERMS:

PAYMENTS: 30 DAYS AFTER RECEIPT OF INVOICE.

DELIVERY: WITHIN 28 DAYS OF RECEIPT OF PO.

MODE OF SHIPMENT: EXW

PREFERED FORWARDER:PERFERRED FORWARDER:        DWF Germany- DWF Air Service GmbH, 
Mörfelder Strasse 111, D-65451
Kelsterbach
Phone: +49 (0) 6107-985835,
Fax: +49 (0) 6107-9858-19, 
E-Mail: J.loebig@dwf-airservice.de






VIVIAN OPARA.
SUPPLY CHAIN UNIT",,,,0,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,False,True,SELECTRA PRO XS FULLY AUTOMATED CHEMISTRY ANALYZER UNIT ,FULLY AUTOMATED SELECTRA PRO XS CHEMISTRY ANALYZER WITH ITS ACCESSORIES,3,,7950,0 %,PROXS,23850,,Taxable,False
PO-000202,Fulfilled,Paid,Elitech Group B.V (Instruments/spare parts),Anneke te Winkel,+31 313 430 577,"Van Rensselaerweg4, 6956AV
",Spankeren,,,Netherlands,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,EUR,0.0019,,7/26/2018 1:31:41 PM,"TERMS:

PAYMENT:FOC

DELIVERY: 3 DAYS OF RECEIPT OF PO.

DESTINATION: CIP LAGOS AIRPORT.





VIVIAN OPARA.
SUPPLY CHAIN UNIT.",,,,0,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,False,True,"SYSTEM SOLUTION, 1 L ","SYSTEM SOLUTION, SLSY-5900-EE, 1 L(FOC)",29,btl,0,0 %,SLSY-5900-EE,0,,Taxable,False
PO-000203,Fulfilled,Paid,DIASPECT MEDICAL GmbH (EKF),Jennifer Ahrends,4939203511197,Ebendorfer Chaussee 3 — 39179 ,,BARLEBEN,,GERMANY,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,EUR,0.0019,,7/27/2018 1:27:34 PM,"TERMS:
PAYMENT: 100% Advanced payment.
DELIVERY: Within 28 days of payment delivery.
INVOICE: C&F Lagos Airport.




Vivian Opara.
Supply Chain Dept.",,,8/30/2018 11:05:26 AM,2890,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,False,True,"DIASPECT HEMOGLOBINMETER CUVETTE,","DIASPECT HEMOGLOBINMETER CUVETTE, 90C.0001. (10x500 pcs)",20,,92.5,0 %,90C.0001,1850,,Taxable,False
PO-000203,Fulfilled,Paid,DIASPECT MEDICAL GmbH (EKF),Jennifer Ahrends,4939203511197,Ebendorfer Chaussee 3 — 39179 ,,BARLEBEN,,GERMANY,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,EUR,0.0019,,7/27/2018 1:27:34 PM,"TERMS:
PAYMENT: 100% Advanced payment.
DELIVERY: Within 28 days of payment delivery.
INVOICE: C&F Lagos Airport.




Vivian Opara.
Supply Chain Dept.",,,8/30/2018 11:05:26 AM,2890,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,False,True,"DIASPECT TM HEMOGLOBIN ANALYZER, UNIT ",DIASPECT TM HEMOGLOBIN ANALYZER 7049-0011-0114,5,,208,0 %,7049-0011-0114,1040,,Taxable,False
PO-000204,Fulfilled,Unpaid,SIGHT DIAGNOSTICS LTD,Itamar Ayali,972525412773,Derech Menachem Begin 48,,Tel Aviv,,Israel,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,USD,0.0023,,7/27/2018 2:44:02 PM,"TERMS:

PAYMENT: 100% advanced payment

DELIVERY: Within 28 days of payment confirmation.

SHIPMENT: CIPLagos Airport.






Vivian Opara.
Supply Chain Manager.",,10/19/2018 9:50:37 AM,,0,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",NET0,,No Tax,0,0,False,,,False,True,PARA SIGHT REAGENTS,Parasight reagent kit(1pk/500 test),11,packs,500,0 %,RK-01,5500,,Taxable,False
PO-000204,Fulfilled,Unpaid,SIGHT DIAGNOSTICS LTD,Itamar Ayali,972525412773,Derech Menachem Begin 48,,Tel Aviv,,Israel,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,USD,0.0023,,7/27/2018 2:44:02 PM,"TERMS:

PAYMENT: 100% advanced payment

DELIVERY: Within 28 days of payment confirmation.

SHIPMENT: CIPLagos Airport.






Vivian Opara.
Supply Chain Manager.",,10/19/2018 9:50:37 AM,,0,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",NET0,,No Tax,0,0,False,,,False,True,ParaSight Digital Cytometry Malaria Diagnostic Platform,Para Sight Digital Cytometry Malaria Diagonostic platform with complete accessories.(without mouse/keyboard),1,,5000,0 %,Para Sight,5000,,Taxable,False
PO-000204,Fulfilled,Unpaid,SIGHT DIAGNOSTICS LTD,Itamar Ayali,972525412773,Derech Menachem Begin 48,,Tel Aviv,,Israel,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,USD,0.0023,,7/27/2018 2:44:02 PM,"TERMS:

PAYMENT: 100% advanced payment

DELIVERY: Within 28 days of payment confirmation.

SHIPMENT: CIPLagos Airport.






Vivian Opara.
Supply Chain Manager.",,10/19/2018 9:50:37 AM,,0,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",NET0,,No Tax,0,0,False,,,False,True,ParaSight Digital Cytometry Malaria Diagnostic Platform,Para Sight Digital Cytometry Malaria Diagonostic platform with complete accessories.(without mouse/keyboard),2,,6500,0 %,Para Sight,13000,,Taxable,False
