OrderNumber,InventoryStatus,PaymentStatus,Customer,ContactName,Phone,Email,BillingAddress1,BillingAddress2,BillingCity,BillingState,BillingCountry,BillingPostalCode,BillingAddressRemarks,ShipToCompanyName,ShippingAddress1,ShippingAddress2,ShippingCity,ShippingState,ShippingCountry,ShippingPostalCode,ShippingAddressRemarks,CurrencyCode,ExchangeRate,NonCustomerCost,OrderDate,OrderRemarks,Freight,InvoicedDate,DueDate,DatePaid,AmountPaid,RequestedShipDate,PONumber,SalesRep,Location,PricingScheme,PaymentTerms,PaymentMethod,TaxingScheme,Tax1Rate,Tax2Rate,CalculateTax2OnTax1,Tax1Name,Tax2Name,Tax1OnShipping,Tax2OnShipping,Sales Type,Sales Person,LPO Date,ItemName,ItemDescription,ItemQuantity,ItemQuantityUoM,ItemUnitPrice,ItemDiscount,ItemSubtotal,ItemSerials,SpecialTaxRate,IsCancelled,
SO-000870,Fulfilled,Paid,lakeshore Cancer Center,Ms Ezinne,8036583291,,"14, Amodu Tijani close,",Off Sanusi Fafunwa,VICTORIA ISLAND,Lagos,Nigeria,,,,"14, Amodu Tijani close,",Off Sanusi Fafunwa,VICTORIA ISLAND,Lagos,Nigeria,,,NGN,1,,9/27/2017 12:00:00 AM,,,9/28/2017 10:10:58 AM,9/27/2017 12:00:00 AM,3/10/2018 10:23:30 AM,1600000,,,"DCL Laboratory Products Ltd, Lagos Nigeria","DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",Normal Price,,,No Tax,0,0,False,,,True,True,Normal,Ogbonna Chidi,,"EON ONE SEMI AUTOMATED CHEMISTRY ANALYSER, UNIT ",EON One SEMI AUTOMATED CHEMISTRY ANALYSER,1,,1600000,0 %,1600000,,Taxable,False,
SO-000870,Fulfilled,Paid,lakeshore Cancer Center,Ms Ezinne,8036583291,,"14, Amodu Tijani close,",Off Sanusi Fafunwa,VICTORIA ISLAND,Lagos,Nigeria,,,,"14, Amodu Tijani close,",Off Sanusi Fafunwa,VICTORIA ISLAND,Lagos,Nigeria,,,NGN,1,,9/27/2017 12:00:00 AM,,,9/28/2017 10:10:58 AM,9/27/2017 12:00:00 AM,3/10/2018 10:23:30 AM,1600000,,,"DCL Laboratory Products Ltd, Lagos Nigeria","DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",Normal Price,,,No Tax,0,0,False,,,True,True,Normal,Ogbonna Chidi,,"EON ONE DILUTOR, UNIT  ",EON One DILUTOR,1,,0,0 %,0,,Taxable,False,
SO-000870,Fulfilled,Paid,lakeshore Cancer Center,Ms Ezinne,8036583291,,"14, Amodu Tijani close,",Off Sanusi Fafunwa,VICTORIA ISLAND,Lagos,Nigeria,,,,"14, Amodu Tijani close,",Off Sanusi Fafunwa,VICTORIA ISLAND,Lagos,Nigeria,,,NGN,1,,9/27/2017 12:00:00 AM,,,9/28/2017 10:10:58 AM,9/27/2017 12:00:00 AM,3/10/2018 10:23:30 AM,1600000,,,"DCL Laboratory Products Ltd, Lagos Nigeria","DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",Normal Price,,,No Tax,0,0,False,,,True,True,Normal,Ogbonna Chidi,,"GLUCOSE PAP SL + STD, 6X100 ML ","Glucose PAP SL, GPSL-0507, 6X100 ML",1,,0,0 %,0,,Taxable,False,
SO-000870,Fulfilled,Paid,lakeshore Cancer Center,Ms Ezinne,8036583291,,"14, Amodu Tijani close,",Off Sanusi Fafunwa,VICTORIA ISLAND,Lagos,Nigeria,,,,"14, Amodu Tijani close,",Off Sanusi Fafunwa,VICTORIA ISLAND,Lagos,Nigeria,,,NGN,1,,9/27/2017 12:00:00 AM,,,9/28/2017 10:10:58 AM,9/27/2017 12:00:00 AM,3/10/2018 10:23:30 AM,1600000,,,"DCL Laboratory Products Ltd, Lagos Nigeria","DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",Normal Price,,,No Tax,0,0,False,,,True,True,Normal,Ogbonna Chidi,,"CREATININE JAFFE, 2X 125 ML + STD","Creatinine Jaffe, CRCO-0600, 2x 125 ml",1,,0,0 %,0,,Taxable,False,
SO-000870,Fulfilled,Paid,lakeshore Cancer Center,Ms Ezinne,8036583291,,"14, Amodu Tijani close,",Off Sanusi Fafunwa,VICTORIA ISLAND,Lagos,Nigeria,,,,"14, Amodu Tijani close,",Off Sanusi Fafunwa,VICTORIA ISLAND,Lagos,Nigeria,,,NGN,1,,9/27/2017 12:00:00 AM,,,9/28/2017 10:10:58 AM,9/27/2017 12:00:00 AM,3/10/2018 10:23:30 AM,1600000,,,"DCL Laboratory Products Ltd, Lagos Nigeria","DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",Normal Price,,,No Tax,0,0,False,,,True,True,Normal,Ogbonna Chidi,,"UREA UV SL, 4 X 62,5 ML","Urea UV SL, URSL-0420, 4 x 62,5 ml, ",1,,0,0 %,0,,Taxable,False,
SO-000871,Fulfilled,Paid,nigerian institute of medical research,,,,"6, edmond Crescent",,Yaba,Lagos,Nigeria,,,,"6, edmond Crescent",,Yaba,Lagos,Nigeria,,,NGN,1,,9/27/2017 2:17:44 PM,"5% VAT deducted from the actual amount on invoice to amount to NGN708,402.65 paid into access bank account.",,10/4/2017 12:35:07 PM,,10/4/2017 3:33:49 PM,745687,,,"DCL Laboratory Products Ltd, Lagos Nigeria","DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",Normal Price,,,No Tax,0,0,False,,,True,True,NORMAL,OGBONNA CHIDI,,Outstanding Invoices (Outstanding Payments),Corresponding invoice to 02016,1,,745687,0 %,745687,,Taxable,False,
SO-000872,Fulfilled,Paid,GARKI HOSPITAL,MRS KLARA,8090204666,info@garkihospital.com,"Abuja,Tafawa Balewa Way, Area 3, Garki Abuja","AREA 3, GARKI",GARKI,ABUJA,NIGERIA,,,,"Abuja,Tafawa Balewa Way, Area 3, Garki Abuja","AREA 3, GARKI",GARKI,ABUJA,NIGERIA,,,NGN,1,,9/27/2017 2:50:29 PM,,,12/21/2017 11:49:35 AM,12/31/2017 11:49:35 AM,3/10/2018 10:19:56 AM,328500,,P002908,Bright Odoemelam,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,NET30,,No Tax,0,0,False,,,True,True,Normal,OKO EZEH,18-10-2017,PLASMA EXPRESSOR UNIT," PLASMA EXPRESSOR, LABJENIKS",1,pcs.,365000,10 %,328500,,Taxable,False,
SO-000873,Fulfilled,Paid,CHUKWUEBUBE SPECIALIST HOSPITAL,DR MADUKA,8054714987,,,,Abuja,FCT,Nigeria,,,,,,Abuja,FCT,Nigeria,,,NGN,1,,9/28/2017 9:05:06 AM,,,9/28/2017 9:09:48 AM,9/28/2017 9:09:48 AM,9/28/2017 5:40:04 PM,35381.26,9/28/2017 12:00:00 AM,,Chiamaka Ngurukem,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,NET0,,No Tax,0,0,False,,,True,True,NORMAL,,,"FSH CHECK-1,   PK ",EXP DATE:2018/12,1,packs,17690.63,0 %,17690.63,,Taxable,False,
SO-000873,Fulfilled,Paid,CHUKWUEBUBE SPECIALIST HOSPITAL,DR MADUKA,8054714987,,,,Abuja,FCT,Nigeria,,,,,,Abuja,FCT,Nigeria,,,NGN,1,,9/28/2017 9:05:06 AM,,,9/28/2017 9:09:48 AM,9/28/2017 9:09:48 AM,9/28/2017 5:40:04 PM,35381.26,9/28/2017 12:00:00 AM,,Chiamaka Ngurukem,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,NET0,,No Tax,0,0,False,,,True,True,NORMAL,,,L-CHECK - 1,EXP DATE:2018/6,1,packs,17690.63,0 %,17690.63,,Taxable,False,
SO-000874,Fulfilled,Paid,MRS AMAKA,,7065017041,,"HEMATOLOGY DEPARTMENT, NATIONAL HOSPITAL",,Abuja,FCT,Nigeria,,,,"HEMATOLOGY DEPARTMENT, NATIONAL HOSPITAL",,Abuja,FCT,Nigeria,,,NGN,1,,9/28/2017 12:24:14 PM,,,9/28/2017 12:25:35 PM,9/28/2017 12:25:35 PM,9/28/2017 5:38:56 PM,128000,,,Bright Odoemelam,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,NET0,,No Tax,0,0,False,,,True,True,,,,"PLATELET KIT, 225 ML ","225 ML, 2019-03",1,kits,128000,0 %,128000,,Taxable,False,
SO-000874,Fulfilled,Paid,MRS AMAKA,,7065017041,,"HEMATOLOGY DEPARTMENT, NATIONAL HOSPITAL",,Abuja,FCT,Nigeria,,,,"HEMATOLOGY DEPARTMENT, NATIONAL HOSPITAL",,Abuja,FCT,Nigeria,,,NGN,1,,9/28/2017 12:24:14 PM,,,9/28/2017 12:25:35 PM,9/28/2017 12:25:35 PM,9/28/2017 5:38:56 PM,128000,,,Bright Odoemelam,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,NET0,,No Tax,0,0,False,,,True,True,,,,"ACD-A, 500ML ","500ml, 2018-09",1,,0,0 %,0,,Taxable,False,
SO-000875,Fulfilled,Partial,"STATE HOSPITAL, OTTA",,,,,,Otta,Ogun State,Nigeria,,,,,,Otta,Ogun State,Nigeria,,,NGN,1,,9/28/2017 2:55:26 PM,composite payment,,,9/23/2017 12:00:00 AM,11/6/2017 1:06:02 PM,27301,9/23/2017 12:00:00 AM,,GODWIN,"DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",Normal Price,,,No Tax,0,0,False,,,True,True,,,,"UREA UV SL, 4 X 62,5 ML","Urea UV SL, URSL-0420, 4 x 62,5 ml, ",1,,14377.66,0 %,14377.66,,Taxable,False,
SO-000875,Fulfilled,Partial,"STATE HOSPITAL, OTTA",,,,,,Otta,Ogun State,Nigeria,,,,,,Otta,Ogun State,Nigeria,,,NGN,1,,9/28/2017 2:55:26 PM,composite payment,,,9/23/2017 12:00:00 AM,11/6/2017 1:06:02 PM,27301,9/23/2017 12:00:00 AM,,GODWIN,"DCL Laboratory Products Ltd, Plot 5 Block 4 Etal Avenue off Kudirat Abiola Way by NNPC Lagos NG",Normal Price,,,No Tax,0,0,False,,,True,True,,,,"CALCIUM ARSENAZO, 2X 125 ML ","Calcium Arsenazo, CALA-0600, 2x 125 ml  ",1,,12923.44,0 %,12923.44,,Taxable,False,
SO-000876,Fulfilled,Paid,ASI UKPO DIAGNOSTIC AND MEDICAL CENTRE,EMEM,"08034630276, 08099661665",emem@asidmc.com,,,OGOJA,Cross River ,NIGERIA,,,,,,OGOJA,Cross River ,NIGERIA,,,NGN,1,,9/29/2017 4:05:19 PM,,,9/29/2017 4:16:37 PM,9/29/2017 4:16:37 PM,12/6/2017 1:23:23 PM,110858.75,9/29/2017 12:00:00 AM,,Chiamaka Ngurukem,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,NET0,,No Tax,0,0,False,,,True,True,NORMAL,,,"CONVERGY ISE CLEANING SOLUTION, 2 x 30ML",EXP DATE:2018/4,2,btl,9062.5,0 %,18125,,Taxable,False,
